instruction,context,response
Which parks are popular in London?,"A 2013 report by the City of London Corporation said that London is the ""greenest city"" in Europe with 14,164 hectares (35,000 acres) of public parks, woodlands and gardens. The largest parks in the central area of London are three of the eight Royal Parks, namely Hyde Park and its neighbour Kensington Gardens in the west, and Regent's Park to the north. Hyde Park in particular is popular for sports and sometimes hosts open-air concerts. Regent's Park contains London Zoo, the world's oldest scientific zoo, and is near Madame Tussauds Wax Museum. Primrose Hill, immediately to the north of Regent's Park, at 256 feet (78 m) is a popular spot from which to view the city skyline.","Popular parks in London includes Hyde Park, Regent's Park and Kensington Gardens."
"Given this paragraph about Chinese cuisine, tell me what are the sub-cuisines, and what made them different.","Chinese cuisine encompasses the numerous cuisines originating from China, as well as overseas cuisines created by the Chinese diaspora. Because of the Chinese diaspora and historical power of the country, Chinese cuisine has influenced many other cuisines in Asia and beyond, with modifications made to cater to local palates. Chinese food staples such as rice, soy sauce, noodles, tea, chili oil, and tofu, and utensils such as chopsticks and the wok, can now be found worldwide.  The preferences for seasoning and cooking techniques of Chinese provinces depend on differences in social class, religion, historical background, and ethnic groups. Geographic features including mountains, rivers, forests, and deserts also have a strong effect on the local available ingredients, considering that the climate of China varies from tropical in the south to subarctic in the northeast. Imperial royal and noble preference also plays a role in the change of Chinese cuisine. Because of imperial expansion and trading, ingredients and cooking techniques from other cultures have been integrated into Chinese cuisines over time.  There are numerous regional, religious, and ethnic styles of Chinese cuisine found within China and abroad. Chinese cuisine is highly diverse and most frequently categorized into provincial divisions, although these province-level classifications consist of many more styles within themselves. The most praised Four Great Traditions in Chinese cuisine are Chuan, Lu, Yue, and Huaiyang, representing cuisines of West, North, South, and East China, respectively. The modern Eight Cuisines of China are Anhui (; Huci), Guangdong (; Yuci), Fujian (; Mnci), Hunan (; Xingci), Jiangsu (; Sci), Shandong (; Lci), Sichuan (; Chunci), and Zhejiang (; Zhci) cuisines.   A Quanjude cook is slicing Peking roast duck. Peking duck is eaten by rolling pieces of duck with scallion, cucumber and sweet bean sauce using steamed pancakes. Color, scent and taste are the three traditional aspects used to describe Chinese food, as well as the meaning, appearance, and nutrition of the food. Cooking should be appraised with respect to the ingredients used, knife work, cooking time, and seasoning.","The modern Chinese cuisine were broken down into 8 different styles of local cuisine, which are Anhui, Guangdong, Fujian, Hunan , Jiangsu , Shandong, Sichuan, and Zhejiang cuisines. They are different because of many reasons, such as geographic features and climate which shaped the locals to specialize in certain ingredients or flavors, as well as religion and ethnic groups."
Which temple was the first female holocaust survivor ordained as a rabbi?,"Helga Newmark, ne Helga Hoflich, (19322012) was the first female Holocaust survivor ordained as a rabbi.   She was born in Germany, and was sent to the concentration camps of Westerbork, Bergen-Belsen, and Terezin (known in German as Theresienstadt) in Czechoslovakia.  She was freed at the age of twelve, and immigrated to America at the age of sixteen. When she had her first child, a daughter, she began to wonder how she would answer her daughter's questions about God. After considering several religions, she joined a [Conservative ] synagogue, Temple Emanuel in [Ridgefield Park, New Jersey] There she learned so much from the rabbi and his wife that she eventually became principal of the synagogue.  She was accepted to the Reform movement's Hebrew Union College - Jewish Institute of Religion on her second attempt, and was ordained in 2000 after eight years of study. She served as a rabbi at Barnert Temple in Franklin Lakes, New Jersey, for two years.","Temple Emanuel in Ridgefield Park, NJ"
Which two people are depicted by carved heads near the windows?,"St. John the Baptist, Blackrock is a Roman Catholic church in the parish of Blackrock, Ireland. The church is still in use and named after the Saint John the Baptist. It is located on Temple Road, Blackrock, County Dublin.  The church was designed by the architect Patrick Byrne, who was educated at the Dublin Society Schools. It is one of the finest examples of the Gothic revival style in Ireland and was the first to be built in the Dublin Archdiocese. It is said to be inspired by the ideas of Augustus Welby Pugin (1812-1852).  The initial building consisted of the nave, chancel and bell tower. To the rear of the church, two carved heads can be seen up high on either side of the rose window. The head on the left depicts St. John the Baptist, while the head on the right depicts the Archbishop Daniel Murray.",St. John the Baptist and the Archbishop Daniel Murray
"Based on this paragraph, who was Donald Trump's physician during 2018 to 2021?","Sean Patrick Conley (born 1980) is an American physician and United States Navy officer who served as the Physician to the President from 2018 to 2021. Conley served as physician to president Donald Trump during the COVID-19 pandemic, often serving as the president's medical advisor, and treating the president when he tested positive for COVID-19.",Sean Patrick Conley
"Given this reference text, give me a list of all the schools attended by Tripp.","Tripp attended The Hill School at Pottstown, Pennsylvania where he drew his attention for his talent as a football player. Tripp enrolled at the University of Chicago and played at the tackle for Amos Alonzo Stagg's 1902 football team. In January 1903, Tripp transferred to Yale University, where he played guard for Yale University's football teams in 1904 and 1905 after sitting out the 1903 season. He was captain of Yale's championship team of 1905, and was selected by Walter Camp as a first-team All-American in 1905. He later worked as a stockbroker He died in October 1962.","The Hill School, University of Chicago, Yale University"
What color is Lavendar?,"Lavender is a light shade of purple or violet. It applies particularly to the color of the flower of the same name. The web color called lavender is displayed at rightit matches the color of the very palest part of the lavender flower; however, the more saturated color shown below as floral lavender more closely matches the average color of the lavender flower as shown in the picture and is the tone of lavender historically and traditionally considered lavender by the average person as opposed to those who are website designers. The color lavender might be described as a medium purple or a light pinkish-purple. The term lavender may be used in general to apply to a wide range of pale, light or grayish-purples but only on the blue side. Lilac is pale purple on the pink side. In paints, the color lavender is made by mixing purple and white paint.  The first recorded use of the word lavender as a color term in English was in 1705.",Lavender is a light shade of purple or violet.
When did Maggie Wilson first appear on TV?,"Wilson's first TV appearance was for GMA Network 7's Kakabakaba Adventure (2003) where she was a regular cast member until the show ended in 2004. Between 2003 and 2011, Wilson appeared and starred in several TV series and soap operas. With supporting roles in All Together Now (2004), Encantadia (2005), Darna (2005), Asian Treasures (2007) and Joaquin Bordado (2008). As part of the main cast in Saang Sulok ng Langit (2005), where she was nominated as Best TV Villain, My Guardian Abby (2006), Darna (2009) and Beauty Queen (2010).",Wilson first appeared on TV on Kakabakaba Adventure in 2003.
What train is the GB Class 2,"GB Class 2 was a series of two trams and two trailers built by Skabo Jernbanevognfabrikk for Graakalbanen of Trondheim, Norway.  Each of the four Siemens motors had an effect of 60 kW (80 hp). There were two compartments, both with four-abreast seating, with reversible seats. Despite running in part in city streets, the trams were 2.6 m (8 ft 6 in) wide. They had seating for 40 passengers.  The trams were ordered in 1941, and a single set of tram and trailer was delivered in May 1940. Not until 1947 were to additional trailers delivered. In 1950, the second motor was delivered from Siemens, and the first trailer could be rebuilt to a tram. The trams remained in service until 1973 when they were replaced by the TS Class 7 trams, following the merger of Graakalbanen into Trondheim Trafikkselskap, and the subsequent reorganizing of routes, so the Grkallen Line was operated onwards along the Lademoen Line. No. 5 is preserved as a heritage tram at Trondheim Tramway Museum, while no. 6 was scrapped in 1983.","The GB Class 2 was a series of two trams and two trailers built by Skabo Jernbanevognfabrikk for Graakalbanen of Trondheim, Norway.  Each of the four Siemens motors had an effect of 60 kW (80 hp). There were two compartments, both with four-abreast seating, with reversible seats. Despite running in part in city streets, the trams were 2.6 m (8 ft 6 in) wide. They had seating for 40 passengers."
Where did Waldo E. Koop work?,"As a career, Waldo E. Koop was an engineer for Boeing. He was called one of the nation's finest researchers by local and state historians, and was credited in the series of Time Life books on the Old West for his research on gunfighters. Koop discovered that Henry McCarty, later known as Billy the Kid, spent time in Wichita, Kansas, where he saw his first gunfight. He published his findings in 1965 in the book, Billy the Kid: the Trail of a Kansas Legend.",Waldo E. Koop was an engineer for Boeing before becoming one of the nation's finest researchers.
What is the biggest strength of Hong Kong journalists,"In the first video, Jiang lashed out at Hong Kong journalist Sharon Cheung in Zhongnanhai when he met with Chee-hwa Tung, Chief Executive of Hong Kong at that time. Ms. Cheung asked if Jiang supported Tung's campaign for Chief Executive, which Jiang affirmed. Cheung then asked if it meant the Chinese government had already decided internally to re-appoint Tung. This made Jiang very upset, and criticized her for twisting his words to ""make big news."" Jiang then continued to criticize the Hong Kong media on the whole, claiming that they need to learn to ask more meaningful questions, even stating that ""Mike Wallace of the US is at a much higher level than you are"", referring to a 2000 interview Jiang gave with 60 Minutes. The second is the famous interview by American journalist Mike Wallace that Jiang referred to in the previous video. In this interview, Wallace and Jiang talked about many touchy subjects, such as democracy and dictatorship in China, freedom of the press, Falun Gong, and the 1989 Tiananmen Square protests. The third video is recorded when Jiang came back to China United Engineering Corporation (Jiang worked there for some years), and Jiang recalled his experience in the video. He also talks about Deng Xiaoping's decision to appoint him as leader of China, and what he considered his achievements during his years of leadership.",Making big news
"Given this paragraph from Wikipedia, what was Alan Wolffe's primary research interest?","Wolffe was born on 21 June 1959 in Burton-on-Trent, Staffordshire, England. He was successful at biology early on, receiving the Biological Council Prize upon leaving secondary school. He then attended Oxford University, receiving a first class B.A. degree in 1981. He did his PhD under Prof. Jamshed Tata at the National Institute for Medical Research, London. He was awarded an EMBO long-term postdoctoral fellowship in 1984 and moved to the laboratory of Donald D. Brown at the Department of Embryology, Carnegie Institution of Washington in Baltimore. He joined the National Institute of Health in 1987, working firstly with Gary Felsenfeld in the Laboratory of Molecular Biology (National Institute of Arthritis, Diabetes and Metabolic Diseases). In 1990 he was appointed Chief of the newly founded Laboratory of Molecular Embryology (LME). He left NIH and moved to the biotechnology firm Sangamo BioSciences Inc. in Richmond, California, in 2000, as Senior Vice President and Chief Scientific Officer. He was a prolific writer, publishing hundreds of articles, literature reviews and two books. He will be known mainly for his work in promoting the idea that chromatin plays a dynamic role in regulating gene expression.",Wolffe was principally interested in chromatin and its role in gene expression
"Given this plot summary from The Night Buffalo, what caused Manuel to discover these occurrences caused by his late friend?","The Night Buffalo (orig. Spanish El Bfalo de la Noche) is a novel by Guillermo Arriaga.  Plot summary After Gregorio commits suicide, his friend Manuel finds himself unraveling his late friends world, and what led him to suicide. Gregorios tortuous relationship with his girlfriend is now inherited by Manuel; he becomes involved with his late friends girlfriend. Gregorio has missed appointments, left strange messages, and has been harassed by a vengeful policeman.","Gregorio committed suicide, this caused Manuel to go down a path of discoveries uncovering what led him to suicide."
Who is J.K.Rowling?,"Joanne Rowling CH OBE FRSL (/rol/ ""rolling""; born 31 July 1965), also known by her pen name J. K. Rowling, is a British author and philanthropist. She wrote Harry Potter, a seven-volume children's fantasy series published from 1997 to 2007. The series has sold over 600 million copies, been translated into 84 languages, and spawned a global media franchise including films and video games. The Casual Vacancy (2012) was her first novel for adults. She writes Cormoran Strike, an ongoing crime fiction series, under the alias Robert Galbraith.",Joanne Rowling a.k.a J.K.Rowling is the famous author of Harry Potter books.
"Given this paragraph on Macquarie University Real Tennis Club, please tell me how many tennis courts the club had.","The Macquarie University Real Tennis Club (formerly the Sydney Real Tennis Club) played real tennis at Macquarie University in Sydney, Australia. Its only court closed on 31 December 2005, converted to other athletic uses. However, the university has agreed to provide land for another court as well as A$350,000 toward its construction. The club is working to provide additional funds required to begin construction.","Based on this paragraph, it appears that the Macquarie University Real Tennis Club had only one tennis court."
"Given this paragraph about the founding of Tesla, who was the chairman of the board of directors as of March 2004?","The company was incorporated as Tesla Motors, Inc. on July 1, 2003, by Martin Eberhard and Marc Tarpenning. Eberhard and Tarpenning served as CEO and CFO, respectively. Eberhard said he wanted to build ""a car manufacturer that is also a technology company"", with its core technologies as ""the battery, the computer software, and the proprietary motor"".  Ian Wright was Tesla's third employee, joining a few months later. In February 2004, the company raised $7.5 million in series A funding, including $6.5 million from Elon Musk, who had received $100 million from the sale of his interest in PayPal two years earlier. Musk became the chairman of the board of directors and the largest shareholder of Tesla. J. B. Straubel joined Tesla in May 2004 as chief technical officer.  A lawsuit settlement agreed to by Eberhard and Tesla in September 2009 allows all five  Eberhard, Tarpenning, Wright, Musk, and Straubel  to call themselves co-founders.",Elon Musk
How did Jon Rahm win the Farmers Insurance Open?,"In late January 2017, Rahm won the Farmers Insurance Open with a 60-foot eagle putt on the final hole to notch his maiden PGA Tour title. He jumped from 137th to 46th in the Official World Golf Ranking with the win, and also gained entry into the Masters Tournament, The Players Championship, the PGA Championship, and World Golf Championships events. On 2 March, Rahm played in his first World Golf Championships event at the WGC-Mexico Championship where he shot rounds of 67-70-67-68 (12) to finish T3, two strokes behind winner Dustin Johnson.",a 60-foot eagle putt on the final hole
Who is the Chinese Li Xueju,"Li Xueju (simplified Chinese: ; traditional Chinese: ; pinyin: L Xuj; born April 1945) is a politician of the People's Republic of China, and the former Minister of Civil Affairs of PRC.  Born in Gongzhuling, Jilin Province, Li joined the Chinese Communist Party in January 1966, and started working in May 1966. In early years, he served in various posts in local commune. In 1975, he was promoted to Secretary of Communist Youth League committee in Siping region of Jilin. From 1978, he served as vice section chief, vice director and later, director of organization department of CYL central committee. From 1984 to 1986, he studied at CCP Central Party School. In 1986, he was appointed as the director of general office of CYL central committee. He was a member of 10th CYL central committee, and a standing member of 11th and 12th CYL central committee.","Li Xueju born April 1945 is a politician of the People's Republic of China, and the former Minister of Civil Affairs of PRC.  Born in Gongzhuling, Jilin Province, Li joined the Chinese Communist Party in January 1966, and started working in May 1966. In early years, he served in various posts in local commune. In 1975, he was promoted to Secretary of Communist Youth League committee in Siping region of Jilin.   From 1978, he served as vice section chief, vice director and later, director of organization department of CYL central committee. From 1984 to 1986, he studied at CCP Central Party School. In 1986, he was appointed as the director of general office of CYL central committee. He was a member of 10th CYL central committee, and a standing member of 11th and 12th CYL central committee."
"Given a reference text about Shivaji, tell me when they were born, when they died, what their most notable accomplishment and what people called them post-death.","Shivaji I (Shivaji Bhonsle; Marathi pronunciation: c.19 February 1630  3 April 1680), also referred to as Chhatrapati Shivaji Maharaj, was an Indian ruler and a member of the Bhonsle Maratha clan. Eventually, Shivaji carved out his own independent kingdom from the declining Adilshahi sultanate of Bijapur which formed the genesis of the Maratha Empire. In 1674, he was formally crowned the Chhatrapati of his realm at Raigad Fort.  Over the course of his life, Shivaji engaged in both alliances and hostilities with the Mughal Empire, the Sultanate of Golkonda, Sultanate of Bijapur and the European colonial powers. Shivaji's military forces expanded the Maratha sphere of influence, capturing and building forts, and forming a Maratha navy. Shivaji established a competent and progressive civil rule with well-structured administrative organisations. He revived ancient Hindu political traditions, court conventions and promoted the usage of the Marathi and Sanskrit languages, replacing Persian in court and administration.  Shivaji's legacy was to vary by observer and time, but nearly two centuries after his death, he began to take on increased importance with the emergence of the Indian independence movement, as many Indian nationalists elevated him as a proto-nationalist and hero of the Hindus.",Shivaji was born on 19th February 1630 and died on 3rd April 1680. Shivaji accomplished to  out his own independent kingdom from the declining Adilshahi sultanate of Bijapur which formed the genesis of the Maratha Empire. He is called as proto-nationalist and hero of the Hindus.
"Given this paragraph, explain who Robert Kiyosaki is?","Robert Toru Kiyosaki (born April 8, 1947) is an American entrepreneur, businessman and author. Kiyosaki is the founder of Rich Global LLC and the Rich Dad Company, a private financial education company that provides personal finance and business education to people through books and videos. The company's main revenues come from franchisees of the Rich Dad seminars that are conducted by independent individuals using Kiyosaki's brand name. He is also the creator of the Cashflow board and software games to educate adults and children about business and financial concepts.  Kiyosaki is the author of more than 26 books, including the international self-published personal finance Rich Dad Poor Dad series of books which has been translated into 51 languages and sold over 41 million copies worldwide. Kiyosaki is the subject of a class action suit filed by people who attended his seminars and has been the subject of two investigative documentaries by CBC Canada and WTAE USA. Kiyosaki's company, Rich Global LLC, filed for bankruptcy in 2012.","Robert Kiyosaki is an American entrepreneur and author who became famous primarily due to his book Rich Dad Poor Dad which has sold over 41 million copies. He is also the founder of Rich Global LLC and the Rich Dad Company, which provide financial education through books and videos. He is undergoing lawsuits related to these companies which in turn are gaining him more press due to documentaries produced on the subject of these lawsuits."
What are the four major subregions in Central Otago?,"""The Central Otago wine region is broken into multiple sub-regions, each with its own climate and characteristics.  Bannockburn is a small Geographical Indication on the southern banks of the Kawarau River near Cromwell and is a very warm area that was known by gold miners as """"the Heart of the Desert"""". Grapes ripen early on sandy, silty loam soils. The elevation ranges from 220 to 370 metres (720 to 1,210 ft). Bendigo lies east of the Clutha River / Mata-Au and Lake Dunstan, with grapes planted at both medium elevation (220 metres (720 ft)) and high elevation terraces (330 to 350 metres (1,080 to 1,150 ft)). This warm area has semi arid soils at variable depths, with free draining soils at the lower levels and shallower soils at higher elevations. The Bendigo sub-region includes the vineyards at Tarras and Maori Point. Gibbston is a tight valley enclosed by mountainous terrain. About 250 hectares of vines are planted on sloping land on the southern bank of the Kawarau River. Gibbston is the coolest and highest of the sub-regions with vineyards between 320 and 420 metres (1,050 and 1,380 ft) altitude. It is sometimes referred to as the Queenstown subregion. Wnaka, the smallest of the sub-regions, has vineyards planted between the banks of Lake Wnaka and the town of Luggate to the east. Ranging between 290 to 320 metres (950 to 1,050 ft) above sea level, the vineyards have a similar but slightly warmer climate than those at Gibbston. The Alexandra Basin is surrounded by the Clutha River / Mata-Au and Manuherikia River and regularly records New Zealand's hottest summer temperatures. Schist outcrops dominate the arid landscape. A wide diurnal shift moderates the high temperatures. The Cromwell Basin contains the highest concentration of vines, in an area bounded by the Kawarau River, Lake Dunstan and the Pisa mountain range. It is a warm district characterised by semi arid, high terraces and moraines and gently sloping fans.""","The Central Otago wine region is broken into multiple sub-regions: Bannockburn, Bendigo, Bendigo and Wnaka"
"Given a reference text about spaghetti, what shape is it, where did it originate, and are there any variations of it?","Spaghetti is a long, thin, solid, cylindrical pasta. It is a staple food of traditional Italian cuisine. Like other pasta, spaghetti is made of milled wheat, water, and sometimes enriched with vitamins and minerals. Italian spaghetti is typically made from durum-wheat semolina. Usually the pasta is white because refined flour is used, but whole wheat flour may be added. Spaghettoni is a thicker form of spaghetti, while spaghettini is a thinner form. Capellini is a very thin spaghetti, sometimes known colloquially as ""angel hair pasta"".","The shape of spaghetti is long, thin, and cylindrical. It traditionally comes from Italy and has a two variations - those being Spaghettoni, which is thicker, and capellini, which is thiner and sometime called 'angel hair pasta'."
"Given this paragraph about Fyre Festival, would you say that it was a successful event?","Fyre Festival was a fraudulent luxury music festival founded by con artist Billy McFarland and rapper Ja Rule. It was created with the intent of promoting the company's Fyre app for booking music talent. The festival was scheduled to take place on April 2830 and May 57, 2017, on the Bahamian island of Great Exuma.","No, Fyre Festival was a fraudulent luxury music festival founded by con artist Billy McFarland and rapper Ja Rule"
"Given the reference text below the eruption of Mount Vesuvius, how high was the mountain after the disaster?","In December 1631, Mount Vesuvius in Italy erupted. The eruption began on 16 December 1631 and culminated the day after. The Volcanic Explosivity Index was VEI-5, and it was a Plinian eruption that buried many villages under the resulting lava flows. It is estimated that between 4,000 people were killed by the eruption, making it the highest death toll for a volcanic disaster in the Mediterranean in the last 1800 years.[citation needed] The 1631 eruption was considered to be of minor proportions regarding its eruptive magnitude and erupted volumes compared to the AD 79 eruption, but the damage was not.[citation needed] By the 1631 eruption, the summit of Mount Vesuvius had been reduced by 450m, making its total height lower than that of Mount Somma.",Mount Vesuvius had a reduced summit by 450 meters.
How is Tesla's approach to full autonomy is different from the other companies?,"Tesla's approach to achieve full autonomy is different from that of other companies. Whereas Waymo, Cruise, and other companies are relying on highly detailed (centimeter-scale) three-dimensional maps, lidar, and cameras, as well as radar and ultrasonic sensors in their autonomous vehicles, Tesla's approach is to use coarse-grained two-dimensional maps and cameras (no lidar) as well as radar and ultrasonic sensors. Tesla claims that although its approach is much more difficult, it will ultimately be more useful, because its vehicles will be able to self-drive without geofencing concerns. Tesla's self-driving software has been trained on over 20 billion miles driven by Tesla vehicles as of January 2021. Tesla also designed a self-driving computer chip that has been installed in its cars since March 2019.","Tesla uses e coarse-grained two-dimensional maps and cameras (no lidar) as well as radar and ultrasonic sensors whereas its competitors rely on highly detailed  (centimeter-scale) three-dimensional maps, lidar, and cameras"
"Given a reference text about Britney Spears, tell me when they were born and why they are famous.","Britney Jean Spears (born December 2, 1981) is an American singer, actress, and dancer. Often referred to as the ""Princess of Pop"", she is credited with influencing the revival of teen pop during the late 1990s and early 2000s. After appearing in stage productions and television series, Spears signed with Jive Records in 1997 at age fifteen. Her first two studio albums, ...Baby One More Time (1999) and Oops!... I Did It Again (2000), are among the best-selling albums of all time and made Spears the best-selling teenage artist of all time. With first-week sales of over 1.3 million copies, Oops!... I Did It Again held the record for the fastest-selling album by a female artist in the United States for fifteen years. Spears adopted a more mature and provocative style for her albums Britney (2001) and In the Zone (2003), and starred in the 2002 film Crossroads.","Britney Spears was born December 2, 1981 she is famous for being the ""princess of pop"" and being the best selling teenage artist of all time."
"Given a reference text about James Henry Richards, tell me what sport he played, where he was born and where he died.","James Henry Richards (3 January 1855  24 August 1923) was an English cricketer. Richards' batting and bowling styles are unknown. He was born at Brixton, Surrey.  Richards made two first-class appearances for Surrey in 1881, against Middlesex at Lord's, and Lancashire at Old Trafford. In his first match, Surrey won the toss and elected to bat first, making 157 all out, with Richards scoring a single run before he was dismissed by Augustus Ford. Middlesex responded in their first-innings by making 192 all out, with Richards taking the wickets of A. J. Webbe and Isaac Walker to finish with figures of 2/40 from 28 overs. Surrey then made just 79 all out in their second-innings, with Richards being dismissed by James Robertson for a duck. This left Middlesex requiring just 45 for victory, which they reached without losing any wickets. In his second match, Lancashire won the toss and elected to bat first, making 324 all out, with Richards bowling fourteen wicketless overs. Surrey responded in their first-innings by making just 69 all out, with Richards being dismissed for 8 runs by Alexander Watson. Forced to follow-on in their second-innings, Surrey were dismissed for 130, with Richards dismissed for a duck by Dick Barlow. Lancashire won the match by an innings and 125 runs.  He died at Tulse Hill, London, on 24 August 1923.","James Henry Richards played cricket. He was born in Brixton, Surrey and died in Tulse Hill, London."
"Given a reference text about In the House, when was it originally on TV and what channel played it?","In the House is an American television sitcom that originally aired on NBC from April 10, 1995 and moved to UPN after its second season. The show starred LL Cool J as Marion Hill a former professional football player with the Oakland Raiders. Because of his financial predicament, he is forced to rent out most of the rooms in his house to newly divorced single mother Jackie Warren (Debbie Allen) and her two children, Tiffany (Maia Campbell) and Austin (Jeffery Wood). In the third season, Jackie and Austin move to Nashville, leaving Tiffany to stay with Marion in order to finish school in Los Angeles; Marion purchases a sports rehabilitation facility with the boisterous Tonia (Kim Wayans) and the pompous Maxwell (Alfonso Ribeiro), leading to the trio's attempts to work together despite their clashing personalities.","In the House was aired on NBC on April 10, 1995"
Which state is named in the passage?,The Brownstown Marl is a geologic formation in Arkansas. It preserves fossils dating back to the Cretaceous period.,Arkansas
"Given this paragraph about heart, for how many deaths (in %) as of 2008 do cardiovascular diseases account for?","Cardiovascular diseases are the most common cause of death globally as of 2008, accounting for 30% of deaths. Of these more than three-quarters are a result of coronary artery disease and stroke. Risk factors include: smoking, being overweight, little exercise, high cholesterol, high blood pressure, and poorly controlled diabetes, among others. Cardiovascular diseases do not frequently have symptoms but may cause chest pain or shortness of breath. Diagnosis of heart disease is often done by the taking of a medical history, listening to the heart-sounds with a stethoscope, ECG, echocardiogram, and ultrasound. Specialists who focus on diseases of the heart are called cardiologists, although many specialties of medicine may be involved in treatment.",30%
"Given this paragraph, what is the recommended daily value of magnesium for women in the UK?","In the UK, the recommended daily values for magnesium are 300 mg for men and 270 mg for women. In the U.S. the Recommended Dietary Allowances (RDAs) are 400 mg for men ages 1930 and 420 mg for older; for women 310 mg for ages 1930 and 320 mg for older.",The daily recommended value for magnesium is 270 mg for women in the UK.
"Given this paragraph about the 2011 NBA Finals, who won the championship and the NBA Finals Most Valuable Player award?","In the 2011 NBA Finals, Dallas once again faced the Miami Heat, which had acquired All-Stars LeBron James and Chris Bosh before the season began. During a Game 1 loss in Miami, Nowitzki tore a tendon in his left middle finger; however, MRIs were negative, and Nowitzki vowed that the injury would not be a factor. In Game 2, he led a Dallas rally from an 8873 fourth-quarter deficit, making a driving left-handed layup over Bosh to tie the series at 1. Miami took a 21 series lead after Nowitzki missed a potential game-tying shot at the end of Game 3. Despite carrying a 101 F (38 C) fever in Game 4, he hit the winning basket to tie the series yet again at 2, evoking comparisons to Michael Jordan's ""Flu Game"" against Utah in the 1997 NBA Finals. Dallas went on to win the next two games, with Nowitzki scoring 10 fourth-quarter points in the series-clinching game in Miami. The championship was the first in the history of the franchise. Nowitzki was named NBA Finals Most Valuable Player.",The Dallas Mavericks won the 2011 NBA championship and the NBA Finals Most Valuable Player award was given to Dirk Nowitzki.
"Given a reference text about Tom Brady, tell me when they were born and what they are famous for.","Thomas Edward Patrick Brady Jr. (born August 3, 1977) is a former American football quarterback who played in the National Football League (NFL) for 23 seasons. He spent his first 20 seasons with the New England Patriots and was a central contributor to the franchise's dynasty from 2001 to 2019. In his final three seasons, he was a member of the Tampa Bay Buccaneers. Brady is widely regarded as the greatest quarterback of all time.","Tom Brady was born on August 3rd, 1977. He is famous for being the greatest quarterback of all time."
What college did David Gilhooly go to?,"He enrolled in University of California, Davis (UC Davis) initially studying biology, followed by anthropology, and ending with a focus on fine art. While attending UC Davis, Gilhooly served as artist Robert Arneson's assistant starting in 1963. He graduated from UC Davis with a BA degree in 1965, and an MA degree in 1967.","David Gilhooly went to the University of California, Davis (UC Davis)."
"Given a reference text about Pampaneira, tell me how many people live there, where it's located, and its elevation above sea level.","Pampaneira is a village located in the province of Granada, Spain. According to the 2005 census (INE), the village has a population of 355 inhabitants.  It is one of three mountain villages of the Barranco de Poqueira in the Alpujarras region. The other two villages, Bubin and Capileira, are located higher in the Poqueira gorge.  The Poqueira gorge starts below the mountain peak of Mulhacn, where the river Poqueira rises. There are many opportunities for hiking in the area. Guided walks are arranged by the local tourist offices which also sell mountain hiking equipment. Other companies can plan self-guided treks through the area. The nearest major town is rgiva. One of the highest all year-round lived-in mountain village in Spain, Trevlez is located nearby in the mountains to the east of the three villages.  Accommodation is available in all of the three villages but Capileira has the biggest range of facilities.  At the north side opens the Sierra Nevada (Spain) range with one of the highest peaks in Spain ; Mulhacn and Alcazaba (Sierra Nevada).  The village is located at about 1060 metres above sea level.  There are many craft shops selling ceramics, leather and clothes. Also on offer are the locally produced specialities of cheese and ham.  During the winter the Sierra Nevada and the Alpujarra mountains get covered in snow but the villages are rarely affected by snow for more than a few days a time.  There are bus connections running every day from the town of Granada, Spain.","Pampaneira is located in the province of Granada, Spain and is 1060 metres above sea level. 355 people live in Pampaneira according to the 2005 census."
In what month did Jens Stub die?,Jens Stub (3 March 1764  24 October 1819) was a Norwegian priest and politician. He was vicar on the island of Veya and served as a representative at the Norwegian Constitutional Assembly at Eidsvoll in 1814.,Jens Stub died in October.
Is Mount Saint Helens still active?,"Mount St. Helens (known as Lawetlat'la to the indigenous Cowlitz people, and Loowit or Louwala-Clough to the Klickitat) is an active stratovolcano located in Skamania County, Washington, in the Pacific Northwest region of the United States. It lies 52 miles (83 km) northeast of Portland, Oregon, and 98 miles (158 km) south of Seattle. Mount St. Helens takes its English name from that of the British diplomat Lord St Helens, a friend of explorer George Vancouver who surveyed the area in the late 18th century. The volcano is part of the Cascade Volcanic Arc, a segment of the Pacific Ring of Fire.  The Mount St. Helens major eruption of May 18, 1980 remains the deadliest and most economically destructive volcanic event in U.S. history. Fifty-seven people were killed; 200 homes, 47 bridges, 15 miles (24 km) of railways, and 185 miles (298 km) of highway were destroyed. A massive debris avalanche, triggered by a magnitude 5.1 earthquake, caused a lateral eruption that reduced the elevation of the mountain's summit from 9,677 ft (2,950 m) to 8,363 ft (2,549 m), leaving a 1 mile (1.6 km) wide horseshoe-shaped crater. The debris avalanche was 0.6 cubic miles (2.5 km3) in volume. The 1980 eruption disrupted terrestrial ecosystems near the volcano. By contrast, aquatic ecosystems in the area greatly benefited from the amounts of ash, allowing life to multiply rapidly. Six years after the eruption, most lakes in the area had returned to their normal state.  After its 1980 eruption, the volcano experienced continuous volcanic activity until 2008. Geologists predict that future eruptions will be more destructive, as the configuration of the lava domes requires more pressure to erupt. However, Mount St. Helens is a popular hiking spot and it is climbed year-round. In 1982, the Mount St. Helens National Volcanic Monument was established by President Ronald Reagan and the U.S. Congress.","Mount St. Helens, located in the sate of Washington is considered an active volcano."
